CloneID Familienummer
1195684 1
389987 1
902598 1
331379 2
596455 2
1478303 2
473018 3
334925 4
1228117 4
403935 4
334798 4
1150770 4
1038601 4
935159 4
317982 4
368271 4
935269 5
404046 5
656654 6
1430484 6
515317 6
747401 6
1161978 7
1223942 7
333504 8
977024 8
536007 8
990919 8
959635 8
1227538 9
441695 9
1021865 9
1430427 9
865184 9
1004063 9
523406 9
402270 10
1382197 10
669703 10
1227730 10
1040230 10
1107566 10
1038921 10
334132 10
368442 10
480602 10
907298 10
734278 10
425385 10
696896 10
440572 10
426173 10
819789 10
720629 10
1227239 10
333755 11
1195462 11
1263202 11
478225 11
1211260 11
438236 11
560009 11
1364394 11
1066664 11
889753 11
760844 11
751755 12
1378891 12
804453 13
1495812 14
1348747 15
733368 16
400025 16
1852361 16
1065141 18
657264 18
402621 18
746622 19
777428 21
479073 22
932803 22
961229 22
791611 24
1109659 24
427562 25
574704 25
1616776 25
519234 26
353706 26
619147 26
579866 26
334575 26
865281 26
871756 26
