CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov
849492	1608	166	92	904	120	92
847936	904	100	112	796	106	112
848434	591	74	84	393	65	84
849038	5505	524	104	2777	329	104
845994	1056	131	91	553	86	91
846412	969	99	86	803	102	86
846290	1274	115	124	1020	110	124
836411	218	31	91	130	24	91
849512	581	69	95	411	59	95
820441	3943	397	86	2185	264	86
820236	2764	295	134	1393	176	134
849466	1184	130	90	686	91	90
849385	240	34	92	220	38	92
849139	638	76	94	410	58	94
846894	702	88	91	409	64	91
846667	490	62	92	361	54	92
846570	1447	169	107	1212	174	107
846396	271	33	94	194	30	94
846160	457	54	96	214	35	96
836398	425	53	95	266	42	95
849489	1907	203	124	935	120	124
820434	1832	195	88	1859	242	88
820216	1143	134	127	1069	147	127
849450	292	40	100	216	37	100
848654	1234	149	126	788	111	126
849103	779	89	93	708	94	93
846842	875	97	105	627	86	105
846613	768	90	86	466	65	86
847231	323	41	95	196	33	95
846353	1686	180	90	725	95	90
846033	578	68	94	312	47	94
849432	327	41	91	208	35	91
821121	273	37	91	199	35	91
820180	329	42	94	204	34	94
849401	872	103	83	574	87	83
848613	987	116	124	1017	136	124
846978	1331	146	87	398	62	87
848256	486	63	98	345	54	98
847339	918	106	84	486	72	84
847201	1971	211	150	1129	149	150
846350	246	36	100	155	29	100
836511	1150	108	136	680	82	136
836341	260	38	98	177	33	98
849416	7858	693	124	5286	578	124
821108	862	100	88	556	80	88
820170	1097	118	141	682	89	141
849400	719	83	90	525	76	90
847819	6983	701	109	4151	516	109
846976	1528	161	90	980	128	90
846790	545	67	88	324	51	88
847332	598	73	73	581	83	73
847196	12309	1319	109	6442	825	109
847076	140	24	98	107	23	98
836482	378	50	94	230	37	94
836321	178	28	93	119	25	93
849415	188	29	96	134	26	96
820348	225	33	94	178	31	94
818939	928	101	112	724	96	112
851504	2236	243	91	1921	256	91
848385	1294	141	89	1124	156	89
846785	859	98	130	609	84	130
847300	298	42	95	467	72	95
846453	1202	126	109	980	124	109
846329	952	109	89	579	84	89
836445	476	53	97	338	48	97
836320	162	27	100	118	25	100
820928	196	28	97	176	29	97
821048	5832	605	74	3615	479	74
818894	457	55	100	291	45	100
848695	1489	156	95	1344	172	95
846924	7887	776	80	3360	425	80
845892	665	77	75	614	84	75
846452	2120	231	126	929	132	126
846306	234	34	91	174	31	91
836442	199	29	89	142	27	89
836296	167	27	96	107	24	96
820899	411	51	93	230	36	93
821017	2046	205	96	1169	153	96
818743	2591	264	116	875	115	116
848680	660	77	73	435	66	73
849179	280	40	100	203	36	100
847445	1169	122	124	554	75	124
845866	1711	181	98	1329	178	98
847179	258	35	92	176	31	92
847035	2548	253	92	1425	182	92
836434	2631	296	123	1710	232	123
848961	282	39	98	232	39	98
820479	171	26	100	127	24	100
820282	288	40	100	235	39	100
818673	345	47	100	246	42	100
620371	283	38	98	193	34	98
620175	859	103	108	713	109	108
1005939	1252	130	86	873	114	86
1005744	1277	138	116	1117	150	116
1005579	1749	175	91	948	118	91
1005419	476	57	100	320	49	100
1005382	1520	155	100	1014	124	100
1005972	1738	187	129	1415	183	129
1005928	1230	132	105	653	88	105
1005861	2720	272	148	1463	186	148
1005834	1287	135	96	812	104	96
1005806	458	58	100	263	42	100
620303	196	32	98	131	28	98
620125	189	29	100	129	26	100
1005846	1111	126	91	621	89	91
1005652	951	104	125	903	123	125
1005417	209	28	92	143	26	92
1005368	1019	110	83	765	103	83
1005969	732	82	106	454	63	106
1005926	334	44	100	204	36	100
1005857	6448	711	118	3417	478	118
1005832	4945	520	79	3182	423	79
1005802	2524	281	131	2064	289	131
621026	1040	113	90	846	111	90
620100	1310	142	109	1159	155	109
1005818	1319	138	107	833	108	107
1005651	889	97	110	794	106	110
1005479	685	78	78	343	51	78
1005407	444	57	100	278	47	100
1005997	289	39	100	197	34	100
1005968	8241	868	106	3167	438	106
1005924	257	36	98	176	31	98
1005855	5090	524	108	3352	445	108
1005830	399	51	98	222	37	98
1005791	782	87	136	386	58	136
621007	271	39	100	196	35	100
620058	209	32	100	172	32	100
1005817	1305	138	90	931	124	90
1005649	1411	151	134	1106	145	134
1005405	863	91	121	625	85	121
1005996	1215	130	87	1146	153	87
1005963	250	34	100	159	29	100
1005904	2118	226	94	1420	192	94
1005854	204	30	100	143	27	100
1005829	478	59	100	328	53	100
1005758	856	92	161	514	70	161
621001	226	32	97	160	29	97
620055	195	28	97	146	27	97
1005648	304	41	97	179	32	97
1005470	877	98	92	663	89	92
1005404	1799	212	122	980	146	122
1005991	1432	153	103	744	101	103
1005961	664	81	130	429	67	130
1005901	2902	300	96	1628	211	96
1005852	945	109	115	587	83	115
1005812	1198	134	107	593	85	107
1005736	3747	404	117	2751	367	117
620274	1920	206	95	1539	207	95
620047	269	36	100	210	36	100
1005792	354	48	98	277	46	98
1005607	903	97	130	629	84	130
1005464	1950	220	96	1567	214	96
1005395	2065	217	149	1929	240	149
1005990	964	114	93	378	58	93
1005953	7163	764	123	2373	310	123
1005899	1893	214	95	1327	180	95
1005850	1365	147	145	862	118	145
1005811	1283	146	92	793	110	92
1005718	336	43	100	213	36	100
620243	399	51	93	506	73	93
620757	247	37	100	178	33	100
1005769	1082	113	88	492	69	88
1005606	1220	141	132	857	127	132
1005451	2860	272	95	1949	239	95
1005393	1034	113	124	618	91	124
1005987	1013	106	93	670	90	93
1005949	284	38	94	179	32	94
1005886	830	91	89	494	71	89
1005838	1364	154	149	613	89	149
1005809	638	75	80	405	63	80
1005717	4843	525	110	2017	262	110
620208	2811	294	82	1993	262	82
1005751	731	85	82	594	83	82
1005605	304	37	100	189	31	100
1005439	1004	111	98	642	88	98
1005390	235	33	96	163	30	96
1005934	164	26	98	101	23	98
1005884	1949	213	105	1445	191	105
1005837	925	109	120	1261	176	120
1005808	308	42	97	212	37	97
1005715	1755	201	148	1137	158	148
521166	329	42	96	197	33	96
521046	5025	539	103	3356	414	103
520355	411	53	96	320	49	96
520283	325	45	95	199	34	95
520098	452	58	96	282	44	96
519969	5493	607	112	3646	496	112
519535	985	112	86	671	90	86
518981	345	48	97	208	40	97
518883	169	27	97	117	23	97
518990	3197	340	89	1441	180	89
518916	1240	135	115	623	87	115
520436	934	105	89	641	91	89
521021	2511	269	121	1806	222	121
520354	7003	747	82	4405	582	82
520277	2370	262	127	1287	167	127
520093	183	29	100	142	28	100
