CloneID	P1Sig	P1STB	P1Cov	P2Sig	P2STB	P2Cov	log P1Sig	log P2Sig	Klasse	Rel exp	Punten
849492	1106	109	89	1185.4656009739015	93	89	7.00850518208228	7.0778908886137035	a	-0.07184954880099581	0
847936	873	88	114	1126.0823519455241	93	114	6.771935555839602	7.0264999427442145	a	-0.28989960131216974	0
848434	530	56	100	569.6393147536928	49	100	6.272877006546167	6.345003379404244	a	-0.07479115991262786	0
849038	3495	311	105	3238.5864516402034	238	105	8.15908865466791	8.082892233230448	a	0.079174526352364	0
845994	801	83	84	900.645943597055	74	84	6.68586094706836	6.80311222099783	a	-0.12440192708745945	0
846412	975	77	88	1124.9826621487023	76	88	6.882437470997847	7.0255229030963875	a	-0.1538283714345665	0
846290	1535	125	114	1567.0579604710663	110	114	7.336285660021297	7.356955229847512	a	-0.020884664801997577	0
836411	161	22	93	180.34912667877535	21	93	5.081404364984463	5.194894564968959	a	-0.12018091104829409	0
849512	514	45	100	503.6579269443848	42	100	6.2422232654551655	6.221897321258946	a	0.02053392293130174	0
820441	2981	256	63	3557.496492718526	241	63	8.000014093678072	8.176812344079762	a	-0.1933903028240611	0
820236	2041	173	122	2096.0087527423525	142	122	7.621195162809845	7.647790221358909	a	-0.026951863176066793	0
849466	964	92	83	875.3530782701536	67	83	6.871091294610546	6.7746273229891445	a	0.10126990346001619	0
849385	237	31	95	340.90383701475827	32	95	5.4680601411351315	5.831600434623953	a	-0.43841281440826263	0
849139	477	48	97	475.065992227018	42	97	6.1675164908883415	6.163453725388871	a	0.0040710297192938505	0
846894	713	73	102	616.9259760170303	50	102	6.569481420414296	6.424749042667457	a	0.15573022974853235	0
846667	337	37	100	379.39297990352134	39	100	5.820082930352362	5.938572554176121	a	-0.12579519259205152	0
846570	1323	126	119	1628.640589093087	119	119	7.187657164114956	7.39550095141256	a	-0.2310208534339282	0
846396	215	24	97	216.63888997389478	23	97	5.3706380281276624	5.37823186588275	a	-0.0076227440646268185	0
846160	506	48	91	361.7979431543725	31	91	6.226536669287466	5.891085887910133	a	0.39857069276952517	0
836398	308	34	90	304.61407371963884	29	90	5.730099782973574	5.7190456433321	a	0.011115462391529274	0
849489	1563	142	127	1054.6025151521071	81	127	7.354362330421477	6.960919212028199	a	0.48207497852834713	0
820434	1198	114	96	1780.3977810544957	133	96	7.088408778675395	7.484592090822396	a	-0.4861417204127676	0
820216	1198	123	137	1513.173160426798	122	137	7.088408778675395	7.32196415563805	a	-0.26308277164173455	0
849450	209	28	97	276.022139002272	28	97	5.342334251964811	5.620481076276545	a	-0.32068009091996186	0
848654	1106	105	123	1265.7429561418928	97	123	7.00850518208228	7.143414545866643	a	-0.14443305256952343	0
849103	782	75	82	966.6273314063629	71	82	6.661854740545311	6.873813034829938	a	-0.23609633172169175	0
846842	837	82	104	850.060212943252	69	104	6.729824070489475	6.745307185732183	a	-0.015603599693252201	0
846613	426	48	98	399.1873962463137	38	98	6.054439346269371	5.989430971409612	a	0.06716796172878636	0
847231	199	27	83	194.64509403745876	23	83	5.293304824724492	5.27117786971859	a	0.022373571674522363	0
846353	1324	134	70	784.0788251339441	65	70	7.188412736496954	6.664509557559057	a	0.6886057339628082	0
846033	359	41	100	395.88832685584833	37	100	5.883322388488279	5.981132168594917	a	-0.10275299959846329	0
849432	141	22	89	155.05626135187393	21	89	4.948759890378168	5.043788027522929	a	-0.0996897968218009	0
821121	217	28	93	285.91934717366826	29	93	5.37989735354046	5.655709768160289	a	-0.3176006782196694	0
820180	243	30	100	252.9286532690142	26	100	5.493061443340548	5.533107446067956	a	-0.0408586554280419	0
849401	728	71	90	813.7704496481326	64	90	6.590301048196686	6.701678323342977	a	-0.11781655171446781	0
848613	955	98	131	1405.4035603382615	112	131	6.86171134048073	7.248079772082241	a	-0.4716267647521062	0
846978	1331	122	87	613.626906626565	51	87	7.193685818395112	6.419387099526072	a	1.1690704655003126	0
848256	454	51	100	488.2622697888796	45	100	6.118097198041348	6.190852699576986	a	-0.07546755460105636	0
847339	977	91	94	655.4151189057933	53	94	6.884486652042782	6.4852688042101105	a	0.4906583199226291	0
847201	1507	141	139	1419.6995276969449	107	139	7.317876198626496	7.258200527991404	a	0.06149221761359258	0
846350	188	25	100	205.64199200567677	23	100	5.236441962829949	5.326136753999347	a	-0.09384038300891895	0
836511	1117	102	131	941.3344660794615	69	131	7.018401799069201	6.847298513286503	a	0.1866133029763195	0
836341	195	27	100	218.8382695675384	25	100	5.272999558563747	5.388332961869254	a	-0.1222475362437867	0
849416	5779	504	123	7191.971271214578	502	123	8.661985936317778	8.880720581596005	a	-0.24450099865280817	0
821108	656	67	81	800.574172086271	64	81	6.486160788944089	6.685329185341447	a	-0.2203874574485838	0
820170	1112	107	134	851.1599027400739	70	134	7.013915474810528	6.746600010734488	a	0.30645252016715485	0
